Age;AmtWeekdays;AmtWeekends;EthnicityID;Ethnicity;Gender;GrossIncome;Qualification;MaritalStatus;NationalityID;Nationality;Region;Smoke;Type
76;NA;NA;2;Black;Male;10400 to 15600;No Qualification;Married;2;English;The North;No;
40;30;30;7;White;Male;2600 to 5200;Other/Sub Degree;Married;2;English;The North;Yes;Hand-Rolled
44;NA;NA;7;White;Male;15600 to 20800;A Levels;Married;1;British;The North;No;
31;20;20;7;White;Female;15600 to 20800;GCSE/O Level;Separated;1;British;The North;Yes;Packets
43;20;20;7;White;Male;2600 to 5200;Other/Sub Degree;Divorced;2;English;The North;Yes;Hand-Rolled
36;NA;NA;7;White;Female;10400 to 15600;A Levels;Separated;1;British;The North;No;
34;NA;NA;7;White;Female;10400 to 15600;GCSE/O Level;Divorced;1;British;The North;No;
18;3;10;7;White;Female;2600 to 5200;GCSE/O Level;Single;2;English;The North;Yes;Packets
56;NA;NA;7;White;Male;5200 to 10400;No Qualification;Married;2;English;The North;No;
73;NA;NA;7;White;Female;Under 2600;No Qualification;Married;1;British;The North;No;
22;20;20;7;White;Female;2600 to 5200;GCSE/CSE;Single;2;English;The North;Yes;Packets
33;NA;NA;7;White;Female;15600 to 20800;GCSE/CSE;Single;2;English;The North;No;
27;0;10;7;White;Male;15600 to 20800;ONC/BTEC;Single;1;British;The North;Yes;Packets
33;NA;NA;7;White;Female;10400 to 15600;GCSE/O Level;Married;1;British;The North;No;
63;NA;NA;7;White;Female;Under 2600;No Qualification;Married;2;English;The North;No;
64;NA;NA;7;White;Female;2600 to 5200;A Levels;Married;1;British;The North;No;
54;NA;NA;7;White;Male;Above 36400;Degree;Married;1;British;The North;No;
34;NA;NA;7;White;Female;Under 2600;Degree;Married;2;English;The North;No;
78;NA;NA;7;White;Male;10400 to 15600;No Qualification;Married;2;English;The North;No;
54;NA;NA;7;White;Female;Under 2600;No Qualification;Married;1;British;The North;No;
56;NA;NA;7;White;Male;28600 to 36400;GCSE/CSE;Separated;2;English;The North;No;
78;NA;NA;7;White;Male;2600 to 5200;No Qualification;Widowed;2;English;The North;No;
37;NA;NA;7;White;Female;5200 to 10400;A Levels;Married;1;British;The North;No;
54;NA;NA;7;White;Male;28600 to 36400;Degree;Married;1;British;The North;No;
40;15;15;7;White;Female;20800 to 28600;GCSE/O Level;Married;1;British;The North;Yes;Hand-Rolled
64;NA;NA;7;White;Female;2600 to 5200;No Qualification;Divorced;2;English;The North;No;
42;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Married;4;Other;The North;No;
34;NA;NA;7;White;Female;2600 to 5200;Higher/Sub Degree;Married;1;British;The North;No;
64;NA;NA;7;White;Female;Under 2600;No Qualification;Married;2;English;The North;No;
50;NA;NA;7;White;Female;15600 to 20800;Other/Sub Degree;Divorced;2;English;The North;No;
31;NA;NA;7;White;Female;10400 to 15600;ONC/BTEC;Married;2;English;The North;No;
37;NA;NA;7;White;Female;Above 36400;Degree;Married;2;English;The North;No;
81;NA;NA;7;White;Male;10400 to 15600;Degree;Married;2;English;The North;No;
57;10;10;7;White;Male;5200 to 10400;No Qualification;Separated;8;Welsh;The North;Yes;Hand-Rolled
59;NA;NA;7;White;Female;2600 to 5200;Higher/Sub Degree;Married;2;English;The North;No;
66;NA;NA;7;White;Male;20800 to 28600;Degree;Married;2;English;The North;No;
57;NA;NA;7;White;Male;20800 to 28600;No Qualification;Married;2;English;The North;No;
78;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;No;
49;NA;NA;7;White;Male;20800 to 28600;Degree;Married;2;English;The North;No;
62;NA;NA;7;White;Female;15600 to 20800;GCSE/O Level;Married;2;English;The North;No;
17;NA;NA;7;White;Female;2600 to 5200;GCSE/CSE;Single;2;English;The North;No;
36;NA;NA;7;White;Female;15600 to 20800;GCSE/O Level;Single;2;English;The North;No;
31;7;7;7;White;Female;Refused;No Qualification;Single;2;English;The North;Yes;Packets
61;25;25;7;White;Female;15600 to 20800;Higher/Sub Degree;Married;2;English;The North;Yes;Packets
71;40;40;7;White;Male;15600 to 20800;No Qualification;Widowed;2;English;The North;Yes;Packets
75;12;12;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;Yes;Packets
43;NA;NA;7;White;Female;Above 36400;Higher/Sub Degree;Married;2;English;The North;No;
68;NA;NA;7;White;Female;Refused;No Qualification;Widowed;2;English;The North;No;
65;NA;NA;7;White;Female;15600 to 20800;Degree;Widowed;2;English;The North;No;
85;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;1;British;The North;No;
35;20;20;7;White;Female;5200 to 10400;GCSE/O Level;Separated;2;English;The North;Yes;Both/Mainly Hand-Rolled
52;NA;NA;7;White;Female;15600 to 20800;Higher/Sub Degree;Married;1;British;The North;No;
28;15;15;7;White;Female;5200 to 10400;ONC/BTEC;Single;2;English;The North;Yes;Packets
52;NA;NA;7;White;Male;20800 to 28600;ONC/BTEC;Single;2;English;The North;No;
67;25;25;7;White;Male;5200 to 10400;No Qualification;Widowed;3;Irish;The North;Yes;Hand-Rolled
35;30;30;7;White;Female;5200 to 10400;No Qualification;Divorced;2;English;The North;Yes;Both/Mainly Hand-Rolled
68;NA;NA;7;White;Female;2600 to 5200;No Qualification;Married;2;English;The North;No;
34;NA;NA;7;White;Female;10400 to 15600;Higher/Sub Degree;Married;4;Other;The North;No;
57;12;20;7;White;Female;2600 to 5200;No Qualification;Divorced;1;British;The North;Yes;Hand-Rolled
37;8;8;7;White;Male;15600 to 20800;Higher/Sub Degree;Married;2;English;The North;Yes;Hand-Rolled
37;15;15;7;White;Female;5200 to 10400;No Qualification;Divorced;2;English;The North;Yes;Packets
43;15;15;7;White;Male;10400 to 15600;No Qualification;Divorced;1;British;The North;Yes;Packets
59;NA;NA;7;White;Male;2600 to 5200;GCSE/O Level;Widowed;1;British;The North;No;
28;NA;NA;7;White;Female;10400 to 15600;Degree;Single;6;Scottish;The North;No;
60;NA;NA;7;White;Female;5200 to 10400;No Qualification;Married;2;English;The North;No;
16;NA;NA;7;White;Male;Under 2600;GCSE/O Level;Single;1;British;The North;No;
37;40;40;7;White;Male;2600 to 5200;No Qualification;Single;1;British;The North;Yes;Hand-Rolled
34;NA;NA;7;White;Male;15600 to 20800;No Qualification;Married;2;English;The North;No;
73;NA;NA;7;White;Female;5200 to 10400;No Qualification;Married;1;British;The North;No;
24;NA;NA;7;White;Male;10400 to 15600;GCSE/O Level;Single;2;English;The North;No;
36;NA;NA;7;White;Female;15600 to 20800;Higher/Sub Degree;Single;1;British;The North;No;
39;20;20;7;White;Male;10400 to 15600;GCSE/O Level;Separated;1;British;The North;Yes;Both/Mainly Packets
74;NA;NA;7;White;Female;Refused;No Qualification;Married;2;English;The North;No;
32;15;15;7;White;Female;Under 2600;GCSE/CSE;Married;2;English;The North;Yes;Packets
30;NA;NA;7;White;Female;15600 to 20800;Degree;Married;4;Other;The North;No;
68;NA;NA;7;White;Female;15600 to 20800;GCSE/O Level;Married;2;English;The North;No;
49;NA;NA;5;Refused;Female;Refused;No Qualification;Married;5;Refused;The North;No;
47;NA;NA;7;White;Female;2600 to 5200;Higher/Sub Degree;Married;2;English;The North;No;
30;30;30;7;White;Male;10400 to 15600;Higher/Sub Degree;Single;1;British;The North;Yes;Hand-Rolled
60;8;15;7;White;Male;10400 to 15600;No Qualification;Divorced;2;English;The North;Yes;Hand-Rolled
72;NA;NA;7;White;Male;15600 to 20800;Other/Sub Degree;Single;2;English;The North;No;
73;NA;NA;7;White;Male;10400 to 15600;Degree;Married;2;English;The North;No;
48;4;20;7;White;Female;10400 to 15600;GCSE/O Level;Widowed;2;English;The North;Yes;Packets
53;NA;NA;7;White;Male;Above 36400;Degree;Divorced;2;English;The North;No;
17;NA;NA;7;White;Male;Refused;GCSE/O Level;Single;2;English;The North;No;
58;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Married;2;English;The North;No;
34;NA;NA;7;White;Female;10400 to 15600;ONC/BTEC;Married;2;English;The North;No;
44;NA;NA;7;White;Male;15600 to 20800;GCSE/O Level;Single;1;British;The North;No;
23;NA;NA;7;White;Male;5200 to 10400;No Qualification;Single;2;English;The North;No;
49;NA;NA;7;White;Male;20800 to 28600;Degree;Married;1;British;The North;No;
30;NA;NA;7;White;Male;15600 to 20800;Degree;Married;1;British;The North;No;
61;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Widowed;2;English;The North;No;
38;9;9;7;White;Male;10400 to 15600;A Levels;Separated;1;British;The North;Yes;Hand-Rolled
30;NA;NA;7;White;Male;10400 to 15600;Degree;Single;1;British;The North;No;
44;NA;NA;7;White;Female;15600 to 20800;A Levels;Married;2;English;The North;No;
91;NA;NA;7;White;Male;Under 2600;No Qualification;Widowed;2;English;The North;No;
40;NA;NA;7;White;Male;Above 36400;GCSE/O Level;Divorced;1;British;The North;No;
63;NA;NA;7;White;Female;2600 to 5200;Degree;Married;1;British;The North;No;
61;30;30;7;White;Female;2600 to 5200;No Qualification;Divorced;1;British;The North;Yes;Packets
40;NA;NA;7;White;Female;5200 to 10400;Higher/Sub Degree;Married;2;English;The North;No;
57;15;15;7;White;Female;Under 2600;No Qualification;Married;1;British;The North;Yes;Both/Mainly Packets
41;NA;NA;7;White;Female;28600 to 36400;Degree;Married;1;British;The North;No;
32;5;7;7;White;Female;2600 to 5200;No Qualification;Single;2;English;The North;Yes;Hand-Rolled
76;NA;NA;7;White;Male;5200 to 10400;No Qualification;Married;2;English;The North;No;
35;2;2;7;White;Female;10400 to 15600;GCSE/O Level;Divorced;2;English;The North;Yes;Packets
70;NA;NA;7;White;Male;5200 to 10400;No Qualification;Married;2;English;The North;No;
75;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;1;British;The North;No;
74;NA;NA;7;White;Female;2600 to 5200;No Qualification;Widowed;2;English;The North;No;
49;NA;NA;7;White;Male;Above 36400;Degree;Married;1;British;The North;No;
56;NA;NA;7;White;Female;Under 2600;GCSE/O Level;Married;1;British;The North;No;
60;NA;NA;7;White;Male;15600 to 20800;Degree;Married;2;English;The North;No;
72;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;No;
17;NA;NA;7;White;Male;5200 to 10400;GCSE/O Level;Single;2;English;The North;No;
23;NA;NA;7;White;Female;20800 to 28600;Degree;Single;2;English;The North;No;
79;NA;NA;7;White;Male;5200 to 10400;No Qualification;Married;2;English;The North;No;
65;NA;NA;7;White;Female;2600 to 5200;No Qualification;Separated;1;British;The North;No;
57;NA;NA;7;White;Female;5200 to 10400;Degree;Married;2;English;The North;No;
37;NA;NA;7;White;Female;15600 to 20800;GCSE/O Level;Married;1;British;The North;No;
79;NA;NA;7;White;Male;5200 to 10400;No Qualification;Single;2;English;The North;No;
71;NA;NA;7;White;Female;2600 to 5200;No Qualification;Single;2;English;The North;No;
87;NA;NA;5;Refused;Female;Unknown;No Qualification;Widowed;5;Refused;The North;No;
59;40;40;7;White;Male;28600 to 36400;Degree;Married;2;English;The North;Yes;Packets
21;8;20;7;White;Male;10400 to 15600;ONC/BTEC;Single;2;English;The North;Yes;Packets
66;NA;NA;7;White;Female;Under 2600;No Qualification;Married;2;English;The North;No;
58;NA;NA;7;White;Male;28600 to 36400;Higher/Sub Degree;Married;8;Welsh;The North;No;
38;15;30;7;White;Male;Above 36400;GCSE/O Level;Married;2;English;The North;Yes;Both/Mainly Packets
61;NA;NA;7;White;Male;15600 to 20800;Other/Sub Degree;Widowed;6;Scottish;The North;No;
37;NA;NA;7;White;Male;Above 36400;Degree;Separated;2;English;The North;No;
38;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Married;2;English;The North;No;
34;NA;NA;7;White;Male;28600 to 36400;Degree;Married;2;English;The North;No;
34;NA;NA;7;White;Female;10400 to 15600;Higher/Sub Degree;Married;1;British;The North;No;
20;NA;NA;7;White;Female;2600 to 5200;GCSE/O Level;Single;2;English;The North;No;
77;20;20;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;Yes;Packets
31;15;20;7;White;Female;2600 to 5200;GCSE/O Level;Single;2;English;The North;Yes;Hand-Rolled
28;2;2;7;White;Male;2600 to 5200;No Qualification;Single;2;English;The North;Yes;Packets
36;NA;NA;7;White;Female;5200 to 10400;GCSE/CSE;Married;1;British;The North;No;
16;12;12;7;White;Female;5200 to 10400;GCSE/O Level;Single;1;British;The North;Yes;Packets
42;NA;NA;7;White;Male;5200 to 10400;GCSE/O Level;Married;2;English;The North;No;
47;NA;NA;7;White;Female;Under 2600;Higher/Sub Degree;Married;2;English;The North;No;
42;NA;NA;7;White;Male;28600 to 36400;GCSE/CSE;Married;1;British;The North;No;
67;NA;NA;7;White;Female;2600 to 5200;No Qualification;Widowed;1;British;The North;No;
72;NA;NA;7;White;Female;5200 to 10400;No Qualification;Single;2;English;The North;No;
40;30;25;7;White;Male;10400 to 15600;GCSE/O Level;Divorced;2;English;The North;Yes;Packets
34;NA;NA;7;White;Female;Above 36400;Degree;Single;2;English;The North;No;
75;NA;NA;7;White;Male;15600 to 20800;No Qualification;Married;2;English;The North;No;
35;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Married;2;English;The North;No;
40;10;10;7;White;Female;5200 to 10400;No Qualification;Separated;1;British;The North;Yes;Packets
46;NA;NA;7;White;Female;15600 to 20800;No Qualification;Married;1;British;The North;No;
23;NA;NA;7;White;Male;15600 to 20800;GCSE/O Level;Married;2;English;The North;No;
42;NA;NA;7;White;Male;10400 to 15600;GCSE/O Level;Married;1;British;The North;No;
63;NA;NA;7;White;Male;2600 to 5200;No Qualification;Married;2;English;The North;No;
33;NA;NA;7;White;Female;5200 to 10400;A Levels;Married;1;British;The North;No;
31;NA;NA;7;White;Female;15600 to 20800;GCSE/O Level;Married;2;English;The North;No;
54;NA;NA;7;White;Male;5200 to 10400;No Qualification;Single;2;English;The North;No;
33;NA;NA;7;White;Female;15600 to 20800;ONC/BTEC;Single;1;British;The North;No;
24;8;12;7;White;Female;15600 to 20800;Degree;Single;2;English;The North;Yes;Hand-Rolled
80;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;1;British;The North;No;
77;NA;NA;7;White;Female;2600 to 5200;No Qualification;Single;2;English;The North;No;
51;NA;NA;7;White;Male;10400 to 15600;No Qualification;Married;2;English;The North;No;
16;NA;NA;7;White;Male;Refused;GCSE/O Level;Single;2;English;The North;No;
27;15;15;7;White;Male;Refused;ONC/BTEC;Single;2;English;The North;Yes;Packets
75;NA;NA;7;White;Female;2600 to 5200;No Qualification;Single;2;English;The North;No;
24;NA;NA;7;White;Female;5200 to 10400;Degree;Single;4;Other;The North;No;
78;50;50;7;White;Male;5200 to 10400;No Qualification;Widowed;2;English;The North;Yes;Both/Mainly Packets
20;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Single;1;British;The North;No;
18;NA;NA;7;White;Male;5200 to 10400;GCSE/CSE;Single;2;English;The North;No;
25;NA;NA;7;White;Female;10400 to 15600;ONC/BTEC;Separated;2;English;The North;No;
55;7;10;4;Mixed;Female;5200 to 10400;No Qualification;Separated;2;English;The North;Yes;Both/Mainly Hand-Rolled
29;5;10;7;White;Female;10400 to 15600;Higher/Sub Degree;Married;2;English;The North;Yes;Packets
67;NA;NA;7;White;Female;5200 to 10400;No Qualification;Divorced;2;English;The North;No;
79;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;No;
44;NA;NA;7;White;Male;20800 to 28600;No Qualification;Single;1;British;The North;No;
47;NA;NA;7;White;Male;20800 to 28600;Degree;Married;1;British;The North;No;
41;NA;NA;7;White;Female;10400 to 15600;GCSE/O Level;Divorced;1;British;The North;No;
31;0;5;7;White;Female;10400 to 15600;GCSE/O Level;Married;1;British;The North;Yes;Packets
32;NA;NA;7;White;Male;10400 to 15600;Other/Sub Degree;Married;6;Scottish;The North;No;
68;NA;NA;7;White;Female;Refused;No Qualification;Widowed;2;English;The North;No;
84;NA;NA;7;White;Female;Under 2600;No Qualification;Widowed;1;British;The North;No;
67;NA;NA;7;White;Male;10400 to 15600;No Qualification;Married;2;English;The North;No;
49;NA;NA;7;White;Male;10400 to 15600;No Qualification;Married;1;British;The North;No;
69;8;6;7;White;Male;5200 to 10400;No Qualification;Married;2;English;The North;Yes;Hand-Rolled
64;18;16;7;White;Male;28600 to 36400;Higher/Sub Degree;Married;2;English;The North;Yes;Packets
62;NA;NA;7;White;Male;20800 to 28600;No Qualification;Married;2;English;The North;No;
52;NA;NA;7;White;Male;5200 to 10400;No Qualification;Divorced;1;British;The North;No;
45;NA;NA;7;White;Male;28600 to 36400;ONC/BTEC;Married;2;English;The North;No;
28;15;15;7;White;Female;10400 to 15600;No Qualification;Divorced;2;English;The North;Yes;Packets
36;NA;NA;7;White;Female;10400 to 15600;GCSE/O Level;Single;2;English;The North;No;
73;NA;NA;7;White;Female;5200 to 10400;No Qualification;Divorced;2;English;The North;No;
48;NA;NA;7;White;Male;10400 to 15600;No Qualification;Widowed;2;English;The North;No;
67;10;10;7;White;Male;10400 to 15600;No Qualification;Widowed;1;British;The North;Yes;Both/Mainly Hand-Rolled
38;NA;NA;7;White;Female;20800 to 28600;GCSE/O Level;Divorced;1;British;The North;No;
40;0;5;7;White;Female;10400 to 15600;GCSE/CSE;Divorced;2;English;The North;Yes;Packets
43;NA;NA;7;White;Male;15600 to 20800;Other/Sub Degree;Single;1;British;The North;No;
30;NA;NA;7;White;Female;10400 to 15600;Degree;Single;2;English;The North;No;
70;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;1;British;The North;No;
82;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;1;British;The North;No;
78;NA;NA;7;White;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;No;
21;10;20;7;White;Male;Under 2600;GCSE/O Level;Single;2;English;The North;Yes;Packets
67;NA;NA;7;White;Male;15600 to 20800;No Qualification;Widowed;2;English;The North;No;
16;NA;NA;7;White;Male;Refused;GCSE/O Level;Single;2;English;The North;No;
21;15;40;7;White;Female;5200 to 10400;GCSE/CSE;Single;2;English;The North;Yes;Packets
68;8;8;7;White;Male;5200 to 10400;No Qualification;Separated;2;English;The North;Yes;Packets
41;10;20;7;White;Male;2600 to 5200;No Qualification;Married;1;British;The North;Yes;Packets
33;NA;NA;7;White;Male;15600 to 20800;GCSE/O Level;Single;1;British;The North;No;
28;NA;NA;7;White;Female;Under 2600;No Qualification;Married;1;British;The North;No;
75;5;5;7;White;Female;2600 to 5200;No Qualification;Married;1;British;The North;Yes;Packets
21;10;5;7;White;Female;5200 to 10400;Other/Sub Degree;Single;2;English;The North;Yes;Packets
69;NA;NA;7;White;Female;2600 to 5200;GCSE/CSE;Divorced;2;English;The North;No;
38;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Married;2;English;The North;No;
33;4;10;7;White;Female;5200 to 10400;GCSE/O Level;Single;2;English;The North;Yes;Packets
47;NA;NA;7;White;Female;5200 to 10400;No Qualification;Married;2;English;The North;No;
44;35;35;7;White;Female;2600 to 5200;GCSE/CSE;Single;2;English;The North;Yes;Hand-Rolled
74;NA;NA;7;White;Female;Under 2600;No Qualification;Married;2;English;The North;No;
29;NA;NA;7;White;Female;Under 2600;GCSE/O Level;Married;2;English;The North;No;
23;NA;NA;1;Asian;Female;Under 2600;A Levels;Married;4;Other;The North;No;
72;NA;NA;7;White;Female;2600 to 5200;No Qualification;Widowed;2;English;The North;No;
31;8;10;1;Asian;Female;5200 to 10400;No Qualification;Widowed;2;English;The North;Yes;Packets
48;NA;NA;1;Asian;Female;Under 2600;No Qualification;Married;1;British;The North;No;
29;NA;NA;7;White;Female;5200 to 10400;GCSE/O Level;Married;2;English;The North;No;
72;NA;NA;2;Black;Male;5200 to 10400;Other/Sub Degree;Married;2;English;The North;No;
52;NA;NA;7;White;Female;Unknown;No Qualification;Married;2;English;The North;No;
68;NA;NA;7;White;Female;5200 to 10400;Degree;Single;2;English;The North;No;
48;40;40;3;Chinese;Male;15600 to 20800;Other/Sub Degree;Married;1;British;The North;Yes;Both/Mainly Packets
55;NA;NA;7;White;Female;10400 to 15600;GCSE/O Level;Married;2;English;The North;No;
23;7;7;7;White;Female;10400 to 15600;ONC/BTEC;Married;1;British;The North;Yes;Packets
66;NA;NA;7;White;Female;2600 to 5200;No Qualification;Widowed;1;British;The North;No;
33;NA;NA;7;White;Female;15600 to 20800;ONC/BTEC;Single;1;British;The North;No;
37;10;10;7;White;Female;Under 2600;GCSE/CSE;Married;1;British;The North;Yes;Packets
42;NA;NA;7;White;Male;20800 to 28600;Degree;Married;2;English;The North;No;
46;20;20;7;White;Female;10400 to 15600;No Qualification;Married;1;British;The North;Yes;Hand-Rolled
57;NA;NA;7;White;Male;28600 to 36400;Other/Sub Degree;Married;2;English;The North;No;
36;NA;NA;7;White;Female;Under 2600;GCSE/O Level;Married;2;English;The North;No;
51;NA;NA;7;White;Female;20800 to 28600;GCSE/O Level;Married;6;Scottish;The North;No;
18;8;8;7;White;Female;Refused;GCSE/O Level;Single;1;British;The North;Yes;Hand-Rolled
69;NA;NA;7;White;Female;Under 2600;GCSE/O Level;Married;2;English;The North;No;
30;NA;NA;7;White;Male;15600 to 20800;Degree;Single;2;English;The North;No;
